InputStoryid,DistortedSentenceIndex,Original_Sentence,Distorted_Sentence,Original_Story,Distorted_Story
940388e1-1d00-4cc2-b6fc-3e4a56aa9c70,0,One day I was asked to write short stories.,"""One day I was asked to write short stories.""","One day I was asked to write short stories. It started out fairly easy, but then I ran into trouble. I soon found it hard to come up with new ideas. I didn't think it would be so hard.","""One day I was asked to write short stories."" It started out fairly easy, but then I ran into trouble. I soon found it hard to come up with new ideas. I didn't think it would be so hard."
38225711-dd12-4676-935e-bfef8d2ac2e8,2,She called her mom to see where her brother is.,""" She called her mom to see where her brother is .","Sophie was going to dinner with her brother. Sophie kept waiting at the restaurant, but her brother never came. She called her mom to see where her brother is. Her brother was home.","Sophie was going to dinner with her brother. Sophie kept waiting at the restaurant, but her brother never came. "" She called her mom to see where her brother is . Her brother was home."
1fb7be7c-b222-448b-b368-4ccd0d21695a,0,"This morning, health-wise, I felt great.","""This morning, health-wise, I felt miserable.""","This morning, health-wise, I felt great. However, as soon as lunch time came, I felt odd. I started sneezing and blowing my nose like crazy. I decided to take some vitamin C.","""This morning, health-wise, I felt miserable."" However, as soon as lunch time came, I felt odd. I started sneezing and blowing my nose like crazy. I decided to take some vitamin C."
2d519d87-9522-4e51-9f99-5330ebe001f6,1,She decided she needed a day off.,She decided she had a great day off.,Stacy woke up on the wrong side of the bed. She decided she needed a day off. She called out of work and went to the aquarium. She loved all the animals and felt relaxed.,Stacy woke up on the wrong side of the bed. She decided she had a great day off. She called out of work and went to the aquarium. She loved all the animals and felt relaxed.
b9cf0628-9ee9-4245-b5a0-fe3a816a67d8,2,I stayed up so late I almost missed the test.,"""I stayed up so early I almost missed the test.""",My first college exam was stressful. I had to stay up all night to study. I stayed up so late I almost missed the test. When it came time to take the test I still felt nervous.,"My first college exam was stressful. I had to stay up all night to study. ""I stayed up so early I almost missed the test."" When it came time to take the test I still felt nervous."
7fc6c821-3f4e-414b-88b2-5b72a7edd1cb,1,He had never made it to the top of a mountain.,""" He had always made it to the top of a mountain .""",Michael loved to go hiking in the woods on weekends. He had never made it to the top of a mountain. One day he climbed very high and finally reached the top. He could see land and water on the other side of the mountain.,"Michael loved to go hiking in the woods on weekends. "" He had always made it to the top of a mountain ."" One day he climbed very high and finally reached the top. He could see land and water on the other side of the mountain."
27954a1d-96c2-4d10-ba3c-766f9596aa5e,1,She wished to enter the lamb in the agricultural fair.,"""She wanted to enter the lamb in the agricultural fair.""",Mary had a little lamb. She wished to enter the lamb in the agricultural fair. She cleaned and combed it till it was beautiful. She entered it in the fair with other lambs.,"Mary had a little lamb. ""She wanted to enter the lamb in the agricultural fair."" She cleaned and combed it till it was beautiful. She entered it in the fair with other lambs."
aa9b53d2-3c47-4393-a059-9ef59c19efa5,1,Her family decided that weekend to throw an open house.,Her family decided that weekend to throw a funeral.,Dorothy had just turned ninety years old on Friday. Her family decided that weekend to throw an open house. Friends and family came from all around. There was food and a slideshow prepared to watch of Dorothy.,Dorothy had just turned ninety years old on Friday. Her family decided that weekend to throw a funeral. Friends and family came from all around. There was food and a slideshow prepared to watch of Dorothy.
c618bb30-f191-416e-9e84-35e0af74457f,2,"After a quick lesson, she mounted the horse.","""After a quick lesson, she broke free.""","Jenny wanted to learn how to ride a horse. She went to a local horse farm. After a quick lesson, she mounted the horse. A feeling of joy enveloped her as she rode the horse around a ring.","Jenny wanted to learn how to ride a horse. She went to a local horse farm. ""After a quick lesson, she broke free."" A feeling of joy enveloped her as she rode the horse around a ring."
0f20b37e-bb84-4373-a3ae-e7c2e4243b1c,0,Jill couldn't believe she was about to marry her best friend.,Jill couldn't believe she was about to marry her best friend.,"Jill couldn't believe she was about to marry her best friend. It was the night before, and she was out with the girls. She confessed to them that she was scared of marrying him. Her friends reassured her that she was actually in love with him.","Jill couldn't believe she was about to marry her best friend. It was the night before, and she was out with the girls. She confessed to them that she was scared of marrying him. Her friends reassured her that she was actually in love with him."
c8886984-5e07-4e41-be9f-89dda1794931,0,Cindy got out of bed.,"""Cindy got out of bed.""","Cindy got out of bed. But she couldn't find her slippers. Instead of making breakfast, spent all day looking for them. She gave up and ordered another pair.","""Cindy got out of bed."" But she couldn't find her slippers. Instead of making breakfast, spent all day looking for them. She gave up and ordered another pair."
98162ab1-d164-4566-9062-54c4efea5680,2,She decided it's time to start exercising.,She decided it's time to start eating.,Lucy looked in the mirror. She didn't like her look. She decided it's time to start exercising. The next day she ran and did sit-ups.,Lucy looked in the mirror. She didn't like her look. She decided it's time to start eating. The next day she ran and did sit-ups.
7f3f5bc9-f01f-420d-947d-a6fa9d301dab,0,Goku loves to fight.,"""goku hates to fight.""",Goku loves to fight. He has been training to fight since a very young age. Goku attended a fighting competition when he was fourteen. Goku has always managed to beat every one of his opponents easily.,"""goku hates to fight."" He has been training to fight since a very young age. Goku attended a fighting competition when he was fourteen. Goku has always managed to beat every one of his opponents easily."
51a80a55-0287-4074-90bb-68f07743bd2f,0,Jimmy wanted to get some work experience as a senior in college.,"""Jimmy wanted to get some work experience as a senior in college.""",Jimmy wanted to get some work experience as a senior in college. He applied as an intern to a construction company nearby. He really enjoyed working for them and was offered a position. Jimmy accepted the position as a full-time employee.,"""Jimmy wanted to get some work experience as a senior in college."" He applied as an intern to a construction company nearby. He really enjoyed working for them and was offered a position. Jimmy accepted the position as a full-time employee."
b0633441-dbb1-46c3-8871-573149a973be,0,Hayley wanted to learn how to defend herself.,"Hayley wanted to learn how to take a nap.""",Hayley wanted to learn how to defend herself. She had been attacked and raped before. She decided to attend self-defense classes. She ended up really loving it and being great at it.,"Hayley wanted to learn how to take a nap."" She had been attacked and raped before. She decided to attend self-defense classes. She ended up really loving it and being great at it."
44b8a224-f3f1-45c4-94cc-4a10fe3a46d0,1,He felt a tug on his line.,He felt a tug on his clothes.,"Ray was fishing in the ocean. He felt a tug on his line. He reeled it in, excited. But then he frowned in disappointment.","Ray was fishing in the ocean. He felt a tug on his clothes. He reeled it in, excited. But then he frowned in disappointment."
d0fb77d7-a959-4a8d-b718-c95f2cf85c7c,1,This year James is invited to take guitar lessons after school.,This year James is not invited to take guitar lessons after school.,James has played baseball for eight years. This year James is invited to take guitar lessons after school. Guitar lessons are on the same day as baseball practice. James chooses not to play baseball this year.,James has played baseball for eight years. This year James is not invited to take guitar lessons after school. Guitar lessons are on the same day as baseball practice. James chooses not to play baseball this year.
7e7426e5-59ca-4114-bf0d-3414bd4adcb9,2,She decided to get a cat to soothe her.,She decided to get a dog to soothe her.,China was so scared because the house had mice. She was out of options and didn't know what to do. She decided to get a cat to soothe her. The cat immediately got the mice and killed them.,China was so scared because the house had mice. She was out of options and didn't know what to do. She decided to get a dog to soothe her. The cat immediately got the mice and killed them.
3481e191-6645-47b6-92c4-eccc9f3b2b7b,2,She decided to get a job and save all her money.,"""She decided to get a job and spend all her money.""","Colleen really wanted her own car. Her parents would let her use theirs, but she wanted her own. She decided to get a job and save all her money. It took many months, but she eventually saved enough.","Colleen really wanted her own car. Her parents would let her use theirs, but she wanted her own. ""She decided to get a job and spend all her money."" It took many months, but she eventually saved enough."
4ec9c3a1-bdf9-4824-a26e-952cd813d2a8,1,I found a stray dog with a collar.,"I found a stray dog with a collar.""",I was walking through Central Park on a fall day. I found a stray dog with a collar. I called the number on the collar and talked to the owners. The owners came to the park to pick up their dog.,"I was walking through Central Park on a fall day. I found a stray dog with a collar."" I called the number on the collar and talked to the owners. The owners came to the park to pick up their dog."
f0dc2cf1-352d-43e8-91d2-2ca6a4c9f67b,0,Hallie had just turned ten years old.,Hallie had just turned ten years old.,"Hallie had just turned ten years old. Her mother thought it was appropriate for ear piercing. Hallie put her hands together, she was so excited. She sat down and got them done.","Hallie had just turned ten years old. Her mother thought it was appropriate for ear piercing. Hallie put her hands together, she was so excited. She sat down and got them done."
d81af094-1ae6-4b68-8f24-26ea58286561,0,Jane's mom was pregnant with her second child.,Jane's mom was ill with her second child.,Jane's mom was pregnant with her second child. She went to the hospital. She delivered the baby. Jane went to go see the new baby.,Jane's mom was ill with her second child. She went to the hospital. She delivered the baby. Jane went to go see the new baby.
a618907c-28ee-4785-83e3-4632439da22b,1,There was a poster of the cool new girl group.,The poster was not of the cool new girl group.,Gina was putting posters on her bedroom walls. There was a poster of the cool new girl group. The girls were wearing bright colored clothing. Gina herself was wearing a brown shirt and khakis.,Gina was putting posters on her bedroom walls. The poster was not of the cool new girl group. The girls were wearing bright colored clothing. Gina herself was wearing a brown shirt and khakis.
635302e9-0336-4291-a597-94588eaa9330,0,Hannah always wanted to go to Italy.,Hannah always wanted to go to New York.,Hannah always wanted to go to Italy. She had been saving money for years. Hannah decided she wanted to go as part of a group. She went to see a travel agent to help her plan.,Hannah always wanted to go to New York. She had been saving money for years. Hannah decided she wanted to go as part of a group. She went to see a travel agent to help her plan.
ac7f06b2-88a4-4b4e-bdb5-eae9446c5bdc,2,"In the kitchen, there was a beer can on the counter.","In the kitchen, there was a beer can on the counter.""","Gina was at her uncle's house out of state. Her parents were in the living room playing music. In the kitchen, there was a beer can on the counter. She thought about taking a sip.","Gina was at her uncle's house out of state. Her parents were in the living room playing music. In the kitchen, there was a beer can on the counter."" She thought about taking a sip."
882b2f88-f545-437d-8977-76c4b8edcc0e,2,I took him to a security guard.,"""I sent him to a security guard.""",I found a puppy at the mall. He looked very sad and lonely. I took him to a security guard. The security guard told me he could not help.,"I found a puppy at the mall. He looked very sad and lonely. ""I sent him to a security guard."" The security guard told me he could not help."
efdc65c3-988e-42a2-b320-9f0d8c71456a,1,They bought her a pony for her birthday and put a unicorn horn strap on it.,She broke the unicorn's horn on her pony.,"Hayden's parents knew she loved unicorns. They bought her a pony for her birthday and put a unicorn horn strap on it. Hayden was so excited, she jumped for joy and thanked her parents. She hugged the unicorn then brushed its mane.","Hayden's parents knew she loved unicorns. She broke the unicorn's horn on her pony. Hayden was so excited, she jumped for joy and thanked her parents. She hugged the unicorn then brushed its mane."
01014fb8-aa61-4843-9064-88c2c33ac40e,0,"I and my girlfriend went to Buffalo, New York.","""I and my gf went to Montreal, Canada.""","I and my girlfriend went to Buffalo, New York. We then got to experience Niagara Falls. We walked around a lot then went on a boat. I took a lot of photographs.","""I and my gf went to Montreal, Canada."" We then got to experience Niagara Falls. We walked around a lot then went on a boat. I took a lot of photographs."
9bb0e922-bcf9-4911-b356-b9e03fdbc618,0,"When Ann got to school, she realized her homework was on the bus.","When Ann got to school, she forgot her homework was on the bus.","When Ann got to school, she realized her homework was on the bus. She could do nothing to get it back. She explained to her teachers about her mistake. All of them believed her and said she could turn it in a day late.","When Ann got to school, she forgot her homework was on the bus. She could do nothing to get it back. She explained to her teachers about her mistake. All of them believed her and said she could turn it in a day late."
3bb9cbfa-b976-4f8a-8e40-70ab9638d28f,1,He decided to drive two hours to his favorite restaurant.,He decided to drive two hours to his favorite restaurant.,Ronny only ate pasta from a particular restaurant. He decided to drive two hours to his favorite restaurant. He arrived and the restaurant was closing. The restaurant owner decided to serve him a meal he just whipped up for himself.,Ronny only ate pasta from a particular restaurant. He decided to drive two hours to his favorite restaurant. He arrived and the restaurant was closing. The restaurant owner decided to serve him a meal he just whipped up for himself.
897de7e5-3310-41d8-b663-8998fabd2656,1,I tried to get him to eat kale but he didn't like it.,""" I tried to get him to eat kale but he didn't like it "".",My boyfriend is a picky eater. I tried to get him to eat kale but he didn't like it. I tried to get him to eat spaghetti but he still did not like it. I finally decided to give him pizza.,"My boyfriend is a picky eater. "" I tried to get him to eat kale but he didn't like it "". I tried to get him to eat spaghetti but he still did not like it. I finally decided to give him pizza."
1aabb257-5f49-4beb-bde4-1e21d7856153,0,Rachel found out that she had cancer.,Rachel found out that she never had cancer.,Rachel found out that she had cancer. She was very scared. Rachel told her family and it was very difficult. They all cried.,Rachel found out that she never had cancer. She was very scared. Rachel told her family and it was very difficult. They all cried.
a91c4bf8-4493-4f11-86f0-c828ffe74acb,0,"Yesterday, I went to my favorite place to buy groceries.","Yesterday, I went to my favorite place to buy the groceries.","Yesterday, I went to my favorite place to buy groceries. I decided to go in the afternoon in my car. I usually buy the same things, but today I bought some fresh steaks. I couldn't wait to get home and grill them for dinner in the evening.","Yesterday, I went to my favorite place to buy the groceries. I decided to go in the afternoon in my car. I usually buy the same things, but today I bought some fresh steaks. I couldn't wait to get home and grill them for dinner in the evening."
5a599bbe-3c46-4300-a310-7f03681914e4,2,They packed up the car and headed out for the beach.,They packed up the car and ended up on their way to the beach .,Ted and Wanda were excited about taking a trip. They were only able to go for the day so they had to leave early. They packed up the car and headed out for the beach. They spent all day having a great time on the beach.,Ted and Wanda were excited about taking a trip. They were only able to go for the day so they had to leave early. They packed up the car and ended up on their way to the beach . They spent all day having a great time on the beach.
d04a7411-1f20-44c6-9570-6448cf495be4,0,Bob saw a plate filled with bacon.,Bob saw a plate filled with broccoli.,Bob saw a plate filled with bacon. He started to get hungry. He ate one piece of bacon. Then he ate a second piece.,Bob saw a plate filled with broccoli. He started to get hungry. He ate one piece of bacon. Then he ate a second piece.
3a0f9fd7-fcf8-4cc9-b5ca-79a176198a79,0,Ben has always wanted to learn how to play the piano.,Ben has always wanted to learn how to play the piano.,"Ben has always wanted to learn how to play the piano. Now that his children are grown up, he has more spare time. Ben enrolls in a piano class with a local tutor. Although it is difficult, he is dedicated to learning.","Ben has always wanted to learn how to play the piano. Now that his children are grown up, he has more spare time. Ben enrolls in a piano class with a local tutor. Although it is difficult, he is dedicated to learning."
cd5a5c96-9bcc-4981-b99f-ee9fd2628513,2,He began applying for new jobs and traveling to new cities.,"""He never applied for any new jobs and traveled to new cities.""","Tim was ready to move out of town at any cost. His current city felt stale and he felt trapped. He began applying for new jobs and traveling to new cities. He found a great job in Austin, Texas.","Tim was ready to move out of town at any cost. His current city felt stale and he felt trapped. ""He never applied for any new jobs and traveled to new cities."" He found a great job in Austin, Texas."
cddb63c3-9407-46eb-9321-a26396239718,1,She bought all the ingredients.,""" She devoured all the ingredients .",Lori found a new recipe. She bought all the ingredients. She followed the recipe perfectly. The dinner turned out well.,"Lori found a new recipe. "" She devoured all the ingredients . She followed the recipe perfectly. The dinner turned out well."
a55c4d97-f364-4152-803f-c45506f3dd48,1,"Yesterday, they brought their dog Kyle to the park with them.","Yesterday, they brought their dog Luke to the park with them.","Ryan and Sam like to go to the park together. Yesterday, they brought their dog Kyle to the park with them. When they got there, they saw another dog running around. That dog had no leash on!","Ryan and Sam like to go to the park together. Yesterday, they brought their dog Luke to the park with them. When they got there, they saw another dog running around. That dog had no leash on!"
28565664-1efa-44de-ba13-bc527cd2c46d,1,She decided to look at the available gyms and memberships in her town.,"""She decided not to look at the available gyms and memberships in her town.""","Kristie decided she was tired of being overweight. She decided to look at the available gyms and memberships in her town. She found a gym she liked, enrolled in a yoga class to start, and went to the gym at least five times a week. She weighed herself after a month.","Kristie decided she was tired of being overweight. ""She decided not to look at the available gyms and memberships in her town."" She found a gym she liked, enrolled in a yoga class to start, and went to the gym at least five times a week. She weighed herself after a month."
c11e06cc-6275-4dac-b9df-84f30ecd3f95,1,He was a big fan of soda and very excited to try alcohol.,He was a big fan of soda and very excited to try alcohol.,Bob finally turned twenty-one. He was a big fan of soda and very excited to try alcohol. He bought a beer at a bar with his friends. He took a sip and thought it tasted really unusual and not like soda.,Bob finally turned twenty-one. He was a big fan of soda and very excited to try alcohol. He bought a beer at a bar with his friends. He took a sip and thought it tasted really unusual and not like soda.
8e38ef35-00bb-40aa-803a-579cb08248ae,1,I must remove sand from the roofs of parking ramps.,""" I must remove sand from the roofs of parking ramps "".","I like my job, except for one thing. I must remove sand from the roofs of parking ramps. Whenever it snows the roof is cleared, then sand is applied. Afterward, I must take my machine up there and remove it.","I like my job, except for one thing. "" I must remove sand from the roofs of parking ramps "". Whenever it snows the roof is cleared, then sand is applied. Afterward, I must take my machine up there and remove it."
63adc91b-35d1-4ecd-af43-f41f761d7588,2,She called a friend and asked if she could borrow her nicest dress.,She called a friend and asked if she could borrow her dirtiest dress.,Rose wanted to go to the award ceremony. She didn't have anything appropriate to wear to such an occasion. She called a friend and asked if she could borrow her nicest dress. The friend sent her some pictures of ones she had.,Rose wanted to go to the award ceremony. She didn't have anything appropriate to wear to such an occasion. She called a friend and asked if she could borrow her dirtiest dress. The friend sent her some pictures of ones she had.
55fa5a2b-8aeb-4bee-915a-1cf1ce6e9a65,2,I met up with a friend and offered her a ride on my bicycle.,I met up with a friend and offered him a ride on my bicycle.,"Mom asked me to go pick up some things at the grocery store. I decided to take my bicycle to the store instead of walking. I met up with a friend and offered her a ride on my bicycle. As we were riding along, my bicycle broke in half.","Mom asked me to go pick up some things at the grocery store. I decided to take my bicycle to the store instead of walking. I met up with a friend and offered him a ride on my bicycle. As we were riding along, my bicycle broke in half."
2a7ad31a-6204-46d8-a282-d6516f710b4a,1,"One day, they went to a Broadway show together.",""" One day, they decided to go to a Broadway show in the same day.""","Avni and Neel have been happily dating for three years now. One day, they went to a Broadway show together. He bought her lovely food and drinks and was being extra sweet. After the show, he went on stage and got down on one knee.","Avni and Neel have been happily dating for three years now. "" One day, they decided to go to a Broadway show in the same day."" He bought her lovely food and drinks and was being extra sweet. After the show, he went on stage and got down on one knee."
34a70ad8-7cc3-4b40-aff9-5376b4c34700,1,I was nervous to give it to him.,"""I was nervous to give it to her.""",Last Father's Day I decided to give my dad a gold watch. I was nervous to give it to him. I was afraid that he might not like it. I decided to give it to him anyway.,"Last Father's Day I decided to give my dad a gold watch. ""I was nervous to give it to her."" I was afraid that he might not like it. I decided to give it to him anyway."
9dd924e4-a1db-42c0-9dee-06c17d882684,0,Kimmy always wanted a pair of shoes Air Jordan.,Jimmy always hated Air Jordans.,Kimmy always wanted a pair of shoes Air Jordan. He put money aside for six months. He bought the shoes. He went to school and left his shoes in the locker.,Jimmy always hated Air Jordans. He put money aside for six months. He bought the shoes. He went to school and left his shoes in the locker.
b6422d30-26f2-4790-b478-2b63606ad9d0,0,Yesterday was Rob's tooth cleaning.,"Yesterday was Rob's tooth decay.""",Yesterday was Rob's tooth cleaning. He is normally really afraid of dentists. But there's a cute new nurse in the office. So he was excited to go.,"Yesterday was Rob's tooth decay."" He is normally really afraid of dentists. But there's a cute new nurse in the office. So he was excited to go."
5a2d4515-c6ae-402f-81ea-52eb63da1048,1,He decided to see how fast it would go on the road.,"He decided to see how slow it would go on the road.""","Percival had just purchased a shiny, new sports car. He decided to see how fast it would go on the road. While speeding a police officer noticed him. Percival refused to pull over and engaged in a high-speed chase.","Percival had just purchased a shiny, new sports car. He decided to see how slow it would go on the road."" While speeding a police officer noticed him. Percival refused to pull over and engaged in a high-speed chase."
64146fb6-b661-4180-8b2a-949d5f6cf681,0,Morgan had a two-year-old daughter.,"""Morgan had a three-year-old daughter.""",Morgan had a two-year-old daughter. One day the daughter started crying. She had gotten a bean stuck in her nose! Morgan took the girl to the hospital.,"""Morgan had a three-year-old daughter."" One day the daughter started crying. She had gotten a bean stuck in her nose! Morgan took the girl to the hospital."
168be871-a6cf-46e5-93db-b970ed779786,0,"For my birthday last year, I was gifted a pair of headphones.","For my birthday last year, I was given a pair of headphones.","For my birthday last year, I was gifted a pair of headphones. They were very expensive. I was appreciative of the gift. However a few months in, they broke in half.","For my birthday last year, I was given a pair of headphones. They were very expensive. I was appreciative of the gift. However a few months in, they broke in half."
02b48cfe-0940-4267-a511-466c2b045690,1,He had just gotten a new skateboard and wanted to try it out.,He had just gotten a new rollerblade and wanted to try it out.,Jose was excited. He had just gotten a new skateboard and wanted to try it out. He took it straight to the skate park. He skated all day.,Jose was excited. He had just gotten a new rollerblade and wanted to try it out. He took it straight to the skate park. He skated all day.
98631767-edf6-4d92-9b3a-d2183539b4d1,0,Ryan and Sam like to go to the movies together.,Ryan and Sam hate to go to the movies together.,"Ryan and Sam like to go to the movies together. They always get to the movie theater early. That way, they Ryan can have popcorn, Sam can have nachos and they can watch the previews. One time, they clumsily dropped their popcorn on the theater floor.","Ryan and Sam hate to go to the movies together. They always get to the movie theater early. That way, they Ryan can have popcorn, Sam can have nachos and they can watch the previews. One time, they clumsily dropped their popcorn on the theater floor."
81065139-77c5-4213-9098-eeb8673c284f,1,She was about to audition for a role in a Broadway production.,She was about to audition for a role in a Broadway production.,"Sue was very nervous. She was about to audition for a role in a Broadway production. She had rehearsed for a month straight. When it was time for the audition, Sue did a great job.","Sue was very nervous. She was about to audition for a role in a Broadway production. She had rehearsed for a month straight. When it was time for the audition, Sue did a great job."
94e2268a-dd76-4c55-94b8-8bc508d2aa8a,0,Tim was too tall for all of his pants.,Tim was too short for all of his pants.,Tim was too tall for all of his pants. He could not find a good outfit to wear for his trip to the park! Everything made his legs look too long and silly. Then he decided to cut his jeans into shorts.,Tim was too short for all of his pants. He could not find a good outfit to wear for his trip to the park! Everything made his legs look too long and silly. Then he decided to cut his jeans into shorts.
23a67208-e466-49da-a8ce-49f7c8ab2ea9,1,They saw the janitor's broom sitting against the wall.,They saw the janitor's broom falling against the wall.,Max and his friends were in the hall at school. They saw the janitor's broom sitting against the wall. Max hid the broom near some lockers. The janitor needed the broom.,Max and his friends were in the hall at school. They saw the janitor's broom falling against the wall. Max hid the broom near some lockers. The janitor needed the broom.
15af2196-424d-416a-83c0-92b5a61a0e42,0,Wyatt's third-grade class is memorizing the multiplication tables.,Wyatt's third-grade class is learning the multiplication tables.,"Wyatt's third-grade class is memorizing the multiplication tables. On Friday, the kids had sixty seconds to complete thirty equations. Wyatt struggled to complete half as many equations before time is up. Wyatt practices at home all week with a stopwatch.","Wyatt's third-grade class is learning the multiplication tables. On Friday, the kids had sixty seconds to complete thirty equations. Wyatt struggled to complete half as many equations before time is up. Wyatt practices at home all week with a stopwatch."
69b69ac6-3a7d-41ec-86a3-a2fae172eaa6,0,I cut ten potatoes and fried them into french fries for myself.,""" I cut 10 potatoes and fried them into french fries for myself "".","I cut ten potatoes and fried them into french fries for myself. As I put the plate flat on the sofa cushion, the doorbell rang. I was having a short conversation with my neighbor. When I came back, my fries were all gone.",""" I cut 10 potatoes and fried them into french fries for myself "". As I put the plate flat on the sofa cushion, the doorbell rang. I was having a short conversation with my neighbor. When I came back, my fries were all gone."
af6999e3-4a17-4f33-88bb-d3f74cabb9d8,2,Even strangers admire his tenacity.,"""Everyone admires his tenacity.""",Buttons is a black cat with a lot of soul. He always struts around like he owns the place. Even strangers admire his tenacity. As though he was a lion in a past life.,"Buttons is a black cat with a lot of soul. He always struts around like he owns the place. ""Everyone admires his tenacity."" As though he was a lion in a past life."
3623d963-7f99-4a21-b7c8-1c9ddf1e96fc,1,He was studying electrical engineering.,He was studying chemistry engineering.,Abu was an international student from Malaysia. He was studying electrical engineering. He lived with two roommates and worked on campus. He was young and inexperienced in life.,Abu was an international student from Malaysia. He was studying chemistry engineering. He lived with two roommates and worked on campus. He was young and inexperienced in life.
112985bd-46b1-4a41-88ad-1b7d26500822,2,She had some pretty peach fabric and sequins to make one.,She had nice blue fabric and sequins to make one.,"Even though she was going alone, Jenny was excited about prom. Unfortunately, she couldn't afford to buy a dress. She had some pretty peach fabric and sequins to make one. The dress turned out fabulously.","Even though she was going alone, Jenny was excited about prom. Unfortunately, she couldn't afford to buy a dress. She had nice blue fabric and sequins to make one. The dress turned out fabulously."
c44bfcc1-e82f-44ac-96ff-8db33b0a826e,0,Kyrie saw a mouse in her house.,Kyrie hoped to see a mouse in her house.,"Kyrie saw a mouse in her house. She screamed because she is afraid of mice. Her cat came and killed the mouse. Then, the cat tried to give it to Kyrie.","Kyrie hoped to see a mouse in her house. She screamed because she is afraid of mice. Her cat came and killed the mouse. Then, the cat tried to give it to Kyrie."
08b6d632-5ebc-4371-85e0-e848ced9a9c1,0,Amy's class was going to the museum on a field trip.,Amy's class was going to the museum on a field trip.,Amy's class was going to the museum on a field trip. Amy was excited to view the King Tut exhibit. Amy asked the information desk where to find the exhibit. The lady informed her the Exhibit left the month before.,Amy's class was going to the museum on a field trip. Amy was excited to view the King Tut exhibit. Amy asked the information desk where to find the exhibit. The lady informed her the Exhibit left the month before.
